Strain	p11	p0006	p0017	p0017S	p002y	p003p	p0040	pyo
NRS001	2	1	2	1	1	1	1	1
NRS002	2	0	0	0	0	0	1	0
NRS003	2	1	1	0	0	0	1	0
NRS021	2	0	2	0	0	0	2	0
NRS022	2	1	1	1	0	0	0	0
NRS027	0	0	1	0	0	0	0	0
NRS029	2	0	1	0	0	0	1	0
NRS035	2	2	0	0	1	1	1	0
NRS036	1	0	1	0	0	0	1	0
NRS039	2	0	0	0	0	0	1	0
NRS049	1	1	1	0	0	0	0	0
NRS051	1	1	1	0	0	0	1	0
NRS052	2	1	2	0	0	0	1	0
NRS054	1	0	1	0	0	0	0	0
NRS063	2	2	1	1	0	0	1	1
NRS064	2	2	2	1	1	1	1	1
NRS070	1	1	2	0	0	0	1	0
NRS071	2	0	0	0	0	0	0	0
NRS072	1	0	1	0	0	0	0	0
NRS073	1	0	1	0	0	0	0	1
NRS074	1	0	1	0	0	0	1	1
NRS079	1	0	1	0	0	0	1	0
NRS100	1	0	1	0	0	0	0	0
NRS102	1	0	1	0	0	0	1	0
NRS103	2	1	1	0	1	0	2	0
NRS104	2	0	0	0	0	0	2	0
NRS105	2	1	0	0	0	0	1	1
NRS106	2	0	2	0	0	0	2	0
NRS107	1	0	0	0	0	0	1	1
NRS108	2	1	2	1	0	0	0	0
NRS109	2	2	0	1	2	1	1	2
NRS110	2	2	1	2	1	1	1	1
NRS111	2	0	2	0	0	0	2	1
NRS112	2	0	0	0	0	0	2	1
NRS113	2	2	0	0	0	0	1	0
NRS114	1	0	2	0	0	0	1	0
NRS119	2	0	2	0	0	0	0	0
NRS145	0	0	0	0	0	0	0	0
NRS148	2	2	0	0	2	2	2	2
NRS149	0	1	0	0	0	0	1	0
NRS152	2	1	2	1	0	0	0	1
NRS157	2	2	0	0	0	1	1	0
NRS161	2	1	2	0	0	0	2	0
NRS162	2	1	0	0	0	0	2	1
NRS164	2	0	2	0	0	0	2	0
NRS167	2	1	0	0	0	0	1	0
NRS168	2	2	0	0	1	1	1	1
NRS169	2	2	0	0	1	1	1	1
NRS170	2	0	0	0	0	0	2	0
NRS172	2	0	2	1	0	0	0	0
NRS174	2	0	1	0	0	0	2	1
NRS175	2	1	1	1	0	0	1	0
NRS177	2	0	1	0	0	0	2	1
NRS178	2	0	2	0	0	0	1	1
NRS180	2	2	1	0	1	1	2	0
NRS182	2	0	2	0	0	0	2	1
NRS183	2	0	2	0	0	0	2	1
NRS185	2	1	2	0	0	0	1	0
NRS187	2	2	0	0	1	1	1	1
NRS188	1	1	2	1	1	1	1	0
NRS189	2	0	1	0	0	0	1	0
NRS191	2	1	1	0	0	0	2	0
NRS192	2	0	0	0	0	0	0	0
NRS194	2	1	0	0	0	0	0	0
NRS196	2	0	2	0	0	0	2	0
NRS198	1	1	2	0	0	0	0	1
NRS199	2	0	2	0	0	0	2	0
NRS201	1	0	2	0	0	0	1	0
NRS202	1	0	2	0	0	0	0	0
NRS203	1	0	0	0	0	0	0	0
NRS204	1	0	2	0	0	0	0	0
NRS205	2	2	1	0	1	1	2	2
NRS207	2	0	2	0	0	0	2	0
NRS209	2	2	2	2	2	2	1	0
NRS210	2	0	2	0	0	0	2	0
NRS211	2	0	2	0	0	0	2	0
NRS212	2	0	1	0	0	0	2	0
NRS213	2	0	1	0	0	0	2	0
NRS214	1	0	2	0	0	0	1	0
NRS215	1	0	1	0	0	0	1	0
NRS216	2	2	1	0	1	1	2	0
NRS217	2	0	0	0	0	0	1	1
NRS218	2	1	2	1	1	1	1	0
NRS219	2	1	2	1	0	0	2	0
NRS220	2	1	2	0	0	0	2	0
NRS222	2	0	1	0	0	0	1	0
NRS223	2	1	2	0	0	0	2	0
NRS224	1	0	1	0	0	0	2	0
NRS225	2	0	2	0	0	0	2	0
NRS226	1	0	2	0	0	0	0	0
NRS227	2	1	0	0	0	0	1	0
NRS230	2	0	2	0	0	0	1	0
NRS231	2	0	1	0	0	0	1	1
NRS232	2	2	0	0	1	1	1	0
NRS233	2	0	1	0	0	0	2	0
NRS235	2	1	1	0	1	0	2	0
NRS236	2	1	0	0	0	0	1	1
NRS237	2	0	0	0	0	0	1	0
NRS239	2	0	0	0	0	0	1	0
NRS240	2	2	2	1	0	0	1	0
NRS241	2	2	0	1	1	0	1	0
NRS242	2	1	2	1	1	0	2	0
NRS243	1	0	1	0	0	0	1	0
NRS245	2	1	2	0	0	0	2	0
NRS246	2	2	1	1	0	0	2	0
NRS247	2	0	1	0	0	0	1	0
NRS248	2	1	0	0	0	0	1	0
NRS249	2	2	2	1	0	1	2	0
NRS252	2	1	1	0	0	0	1	1
NRS253	1	1	1	1	1	1	1	1
NRS254	2	1	2	1	0	0	0	0
NRS255	2	2	2	1	1	2	2	2
NRS256	2	1	0	0	0	0	1	0
NRS259	2	0	0	0	0	0	2	0
NRS260	2	2	0	1	1	0	2	1
NRS262	2	0	0	0	0	0	2	0
NRS264	2	1	1	0	0	0	2	0
NRS265	2	2	0	0	1	1	1	1
NRS266	2	2	1	0	1	1	2	1
NRS271	2	2	1	0	0	0	1	0
NRS272	2	1	1	0	0	0	2	0
NRS275	1	1	2	0	0	0	1	0
NRS383	2	1	2	1	0	0	1	1
NRS386	2	2	0	0	1	1	2	1
NRS387	2	2	2	1	1	1	2	1
NRS408	2	2	1	1	1	1	2	1
CFBRSa03	2	1	0	0	0	0	0	0
CFBRSa04	1	1	0	0	0	0	1	0
CFBRSa05	2	0	2	0	0	0	0	0
CFBRSa06	2	1	0	0	0	0	2	0
CFBRSa07	0	0	1	0	0	0	0	0
CFBRSa21	0	0	1	0	0	0	0	0
CFBRSa22	2	0	0	0	0	0	2	0
CFBRSa23	1	0	2	0	0	0	2	0
CFBRSa24	1	0	0	0	0	0	0	0
CFBRSa25	2	1	0	0	0	0	2	0
CFBRSa26	2	0	1	0	0	0	2	0
CFBRSa27	1	0	0	0	0	0	0	0
CFBRSa28	1	1	0	0	0	0	1	0
CFBRSa29	2	0	2	0	0	0	1	0
CFBRSa30	0	1	2	0	0	0	0	0
CFBRSa47	2	0	0	0	0	0	2	0
CFBRSa48	0	0	2	0	0	0	0	0
CFBRSa49	1	1	2	0	0	0	1	0
